person_tmdbId,movieId,role
1271225,32898,Officer of the Marines (uncredited)
1602569,32898,Parade Leader (uncredited)
8828,7013,Rachel Cooper
8828,7312,Hetty Seibert
8828,7243,The Woman Who Rocks the Cradle
8828,7065,Elsie Stoneman
8828,957,Hester Prynne
8829,7065,Flora Cameron
8830,7065,Ben Cameron
8830,957,Roger Prynne aka Roger Chillingworth
8831,7065,Margaret Cameron
105947,62383,Professor Aronnax
105951,62383,Aronnax's Daughter
105942,62383,Ned Land
105948,62383,Captain Nemo
8835,7243,Brown Eyes' Father (French Story)
8832,7243,Uplifter
1647611,7243,Charles IX
21301,3309,Bar Singer
21301,8511,Immigrant
21301,3310,The Woman
21303,8511,The Head Waiter
21306,8511,A Diner / Immigrant
88953,72626,Billy Blazes
88953,25752,The Freshman
88953,8235,The Boy - Harold
88953,8423,Harold Hickory
85778,72626,Sheriff 'Gun Shy' Gallagher
30000,8228,Ruth Wonderly
30000,7080,Dorothy Brock
30000,72626,Nell
3000,6987,Dr. Caligari
3001,6987,Cesare
590591,6987,null
3005,6987,Jane Olsen
29123,25737,The Golem
29175,25737,Rabbi Loew
29176,25737,"Miriam, the Rabbi's Daughter"
29177,25737,Rabbi Famulus
128325,59846,Constance Bonacieux
128325,59945,Lolita Pulido
97990,59945,Capt. Juan Ramon
128324,59945,Sgt. Pedro Gonzales
100804,59945,Don Carlos Pulido
8635,80599,null
8635,3559,Calvero's Partner
8635,8796,Erronius
8635,123663,Elmer E. Tuttle
8635,83096,Bank Clerk
8635,83322,The Boat Builder
8635,83318,The Goat
8635,7074,Rollo Treadway
8635,25750,"Sherlock, Jr."
8635,3140,The Boy
8635,83411,Young man / Jeune homme
8635,83359,Audience / Orchestra / Mr. Brown - First Minstrel / Second Minstrel / Interctors / Stagehand
8635,83361,Little Chief Paleface
8635,3022,Johnny Gray
8635,3232,James 'Jimmie' Shannon
8635,25769,William 'Willie' Canfield Jr.
8635,25764,Buster
121146,83359,Twin (uncredited)
121146,83361,Indian Maiden
121146,83411,Mayor's Daughter / Fille du Maire
121146,83318,The Police Chief's Daughter
121146,83096,Bank President's Daughter
10525,83361,The Indian Chief
10525,83411,Police Chief / Chef de police
10525,8609,Joseph Canfield
10525,83318,Police Chief
10525,3140,The Girl's Father
10525,83096,Bank Cashier
143998,83318,Dead Shot Dan
13953,83411,Hobo / Vagabond
13953,83322,SOS Receiver
13953,83359,Orangutan trainer (uncredited)
13953,83096,Customer in Bank
63378,3310,The Man
19426,6826,Matthew Basch
19426,3310,The Kid
77,2010,C.A. Rotwang
77,8670,Dr. Mabuse
77,4768,Dr. Mabuse
28988,4768,"Cara Carozza, the dancer"
47169,4768,Countess Dusy Told (as Gertrude Welker)
73,2010,Johann 'Joh' Fredersen
73,4768,Count Told / Richard Fleury - US version
89675,25744,The Witch
89676,25744,The Nun
89677,25744,The Young Monk
89678,25744,The Fat Monk
10094,44587,Nanook
10095,44587,Nanook's Wife
10097,44587,Nanook's Son
10096,44587,Nanook's Daughter
9839,1348,Graf Orlok
9840,1348,Hutter
9841,1348,Ellen
9843,1348,Harding
1670560,71102,null
1670560,8609,null
10528,8609,Lee Canfield
1832030,8609,The Parson
88954,8235,The Girl
148377,8235,The Pal
88958,8235,The Law
144005,3140,The Girl
29260,1929,General Director Preysing
29260,25795,Dan Packard
29260,3140,The Villain
29260,4277,Prof. Challenger
2895,4404,Mephisto
2895,4970,Professor Immanuel Rath
2895,4405,Hotelportier
35420,4405,Nichte des Portiers
47029,4405,Bräutigam der Nichte
47032,4405,Tante
14920,7074,Betsy O'Brien
14920,25750,Girl
14421,7074,John O'Brien
10530,25750,Girl's Father
14921,25750,The Butler
109088,7302,The Thief of Bagdad
14488,7302,His Evil Associate
14488,8275,The Dean
14488,3232,Lawyer
108104,7302,The Holy Man
29981,7302,The Princess
9609,3742,Grigory Vakulinchuk
9610,3742,Commander Golikov
9607,3742,Chief Officer Giliarovsky
9611,3742,Young Sailor Flogged While Sleeping
102501,25752,Peggy
102501,8423,Mary Powers
102501,1925,Sylvia Lewis
115995,25752,The College Cad
1759857,25752,Chet Trask
144016,3133,Owner of the Diamond Bar Ranch
144017,3133,His Daughter
144018,3133,The Foreman
1364095,3133,Herself
14435,3629,Big Jim McKay
14437,3629,Black Larsen
14438,3629,Hank Curtis
14438,3462,Cafe proprietor
34746,25753,Trina
9097,25753,John McTeague
32138,25753,Marcus
32138,5099,Adolph Kramer
35504,25753,Maria
95624,8695,Susan Turner
95624,98458,Shirley Ellison
95624,87383,Elizabeth Blair
95624,8572,Virginia 'Virgie' Cary
95624,5097,Shirley Blake
95624,91286,Lloyd Sherman
95624,917,Sara Crewe
95624,99276,Susannah 'Sue' Sheldon
95624,98441,Rebecca Winstead
95624,98803,Betsy Brown Shea
95624,98611,Penny Hale
95624,60343,Priscilla 'Winkie' Williams
95624,99273,Barbara 'Ching-Ching' Stewart
95624,99089,Barbara Barry
95624,5099,Heidi Kramer
95624,47606,Helen 'Star' Mason
95624,5098,Dimples Appleby
95624,99085,Molly Middleton
17753,91286,Colonel Lloyd
17753,1934,Grandpa Martin Vanderhof
17753,953,Henry F. Potter
17753,3792,Sen. Jackson Tilt McCanles
17753,3334,James Temple
117073,91286,Elizabeth Lloyd Sherman
133470,91286,Jack Sherman
29258,1926,Hank Mahoney
29258,4277,Paula White
29259,8256,Oxenstierna
29259,4277,Sir John Roxton
29261,4277,Edward E. Malone
14481,25755,"Erik, The Phantom"
14484,25755,Christine Daaé
14485,25755,Vicomte Raoul de Chagny
14486,25755,Ledoux
99377,3232,Billy Meekin
144011,3232,Mary Jones
85425,6986,Judah Ben-Hur
50837,6986,Messala
14287,6986,Esther
108101,6986,Mary
34744,7309,Princess Isobel
29603,7309,Duenna (as Tempe Pigett)
8841,6562,Grandpa Spencer
8841,7309,MacTavish
8841,1935,Mr. Morgan
8841,7208,Sir Charles Emery
8841,61634,Sam Carraclough
8841,7059,Herbert Brown
8841,33587,Commander Beech
8841,8612,Sam Carraclough
8841,115139,'Jock' Gray
29952,7309,Pirate Lieutenant
66790,5913,"Charles-Ingvar ""Sickan"" Jönsson"
66790,4404,Faust
48938,4404,Gretchen/ Marguerite
48062,4404,Gretchens Mutter/ Marguerite's mother
29999,7080,Julian Marsh
29999,99270,Lawrence Cromwell
29999,121618,Jay Gatsby
148836,121618,Daisy Buchanan
27733,39779,Harry Holt
27733,121618,Nick Carraway
14434,121618,Myrtle Wilson
27911,2227,The Landlady - Daisy's Mother
27912,2227,Daisy's Father
27914,2227,Joe Chandler
74,2010,Freder Fredersen
78,32280,Peachum
78,2010,The Thin Man
121001,957,Rev. Arthur Dimmesdale
29978,957,Giles
116367,3492,"Ahmed, the Sheik's Son / Sheik Ahmed Ben Hassan"
932465,3492,null
262394,3492,André Romez
92907,3492,Ghabah
2797,7914,""
141304,8275,"Mary Haynes, The Girl"
143818,8275,Mary's friend
80545,8275,"Jeff Brown, A rival"
80545,25764,Stagg
14417,3022,Annabelle Lee
14419,3022,Captain Anderson
14420,3022,General Thatcher
97996,8423,Jim Hickory
141140,8423,Leo Hickory
143356,58649,Napoléon Bonaparte
1693168,58649,Napoléon Bonaparte (Child)
150860,58649,null
1693169,58649,Georges Jacques Danton
9087,8125,null
9088,3217,Esther Blodgett aka Vicki Lester
9088,8125,The Wife (Indre)
9089,8125,The Woman from the City
9090,8125,The Maid
102499,1925,Mary Preston
102500,1925,null
29760,80748,Cheshire Cat
29760,1925,David Armstrong
13904,25763,Lulu
13905,25763,Dr. Ludwig Schön
13906,25763,Alwa Schön
13907,25763,Schigolch
122974,25764,Sally
80546,25764,Editor
13855,3307,The Eccentric Millionaire's Butler
13855,3306,The Circus Proprietor and Ring Master
147962,3306,"His Step-daughter, A Circus Rider"
147963,3306,"Rex, A Tight Rope Walker / Disgruntled Property Man / Clown"
120701,3306,A Magician
11589,6985,Jeanne d'Arc
11590,6985,null
11591,6985,Jean d'Estivet
11586,6985,Nicolas Loyseleur
120811,25769,John James 'J.J.' King
98034,25769,William 'Steamboat Bill' Canfield Sr.
1444312,25769,First and Last Mate Tom Carter
2106,3759,Mickey Mouse (voice) (uncredited)
2106,1282,Mickey Mouse (segment 'The Sorcerer's Apprentice') (voice)
2106,3611,self
2106,2102,Mickey Mouse (voice)
7380,2221,Alice White
7381,2221,Mrs. White
7382,2221,Mr. White
7383,3659,Chief Inspector Lomax
7383,2221,Detective Frank Webber
1516030,1926,Eddie Kearns
98012,1926,Queenie Mahoney
1042437,6433,The Cameraman
30014,7091,Frank Wagstaff
30014,7706,Horatio Jamison
30014,25777,Zeppo
30014,1256,Bob Roland
30014,33312,Jamison
10798,32882,Wolf J. Flywheel
10798,7132,Otis B. Driftwood
10798,37211,S. Quentin Quale
10798,34002,Gordon Miller
10798,34018,Attorney J. Cheever Loophole
10798,8542,Dr. Hugo Z. Hackenbush
10798,25777,Groucho
10798,7091,Quincy Adams Wagstaff
10798,1256,Rufus T. Firefly
10798,33312,Hammer
10798,7706,Captain Jeffrey T. Spaulding
10800,25777,Harpo
10800,7091,Pinky
10800,1256,Pinky
10800,33312,Harpo
10800,7706,The Professor
10800,32882,Wacky
10800,37211,'Rusty' Panello
10800,34002,Faker Englund
10800,34018,'Punchy'
10800,8542,Stuffy
10800,7132,Tomasso
587954,59846,"The Queen Mother, Anne of Austria"
120536,59846,Milady de Winter
29953,59846,Madame Peronne
8993,25771,Young Girl
8992,25771,Man
2010,1927,Stanislas 'Kat' Katczinsky
2007,1927,Paul Bäumer
2007,25850,Ned Seton
2007,8463,Dr. Robert Richardson
2009,1927,Himmelstoss
2008,1927,Kantorek
10799,33312,Chico
10799,25777,Chico
10799,7706,Signor Emanuel Ravelli
10799,7091,Baravelli
10799,1256,Chicolini
10799,32882,Ravelli
10799,37211,Joe Panello
10799,34002,Harry Binelli
10799,34018,Antonio Pirelli
10799,8542,Tony
10799,7132,Fiorello
2896,6412,Frenchy
2896,769,null
2896,6777,Mrs. Bertholt
2896,5008,Christine Vole
2896,4970,Lola Lola
2896,2187,Charlotte Inwood
2896,363,null
2897,4970,"Kiepert, the Magician"
2898,4970,"Guste, His Wife"
13566,3435,Barton Keyes
13566,7386,Dathan
13566,3334,Johnny Rocco
13566,25773,Caesar Enrico 'Rico' Bandello aka 'Little Caesar'
13566,25927,Federal Agent Wilson
13566,5169,Christopher Cross
13566,25911,Professor Richard Wanley
51762,25773,Joe Massara
51762,7840,Ballantine
29315,25773,Olga Stassoff
29315,8044,Marie Woods
128159,25773,Tony Passa
2435,25865,Robert Crosbie
2435,929,Stephen Fisher
2435,4801,Horace Giddens
2435,3739,Gaston Monescu
2435,2454,Insp. Charas
2435,2219,Sir John Menier
