person_tmdbId,movieId,role
88953,8423,null
29123,25737,null
8635,25764,null
8635,83322,null
8635,83359,null
8635,83096,null
8635,8275,null
8635,25769,null
8635,83411,null
8635,7074,null
8635,8609,null
8635,83361,null
8635,3022,null
8635,3140,null
8635,25750,"Sherlock, Jr."
8635,83318,The Goat
8635,3232,James 'Jimmie' Shannon
8635,3133,Friendless
143998,83318,null
13953,3140,null
13953,8522,null
13953,83411,Hobo / Vagabond
13953,83361,null
13953,83359,Orangutan trainer (uncredited)
13953,3929,null
13953,83096,Customer in Bank
13953,83322,SOS Receiver
13953,25874,null
14481,25755,null
8841,7074,null
2106,2102,null
13355,144172,null
10921,7013,null
4165,6446,null
4165,32174,null
4165,4042,Col. Davy Crockett
46617,47092,null
46617,31109,Phyllis Martin
46617,3121,null
11493,7086,null
8630,25753,Balloon Vendor (uncredited)
3359,7697,The Regent
3359,25901,King Henry
3359,1941,Hamlet - Prince of Denmark / Voice of Ghost
82216,5003,null
19406,25916,null
4112,8828,null
23626,36535,null
40,1248,Police Captain Hank Quinlan
40,6460,Albert Hastler
40,923,Charles Foster Kane
40,25927,Charles Rankin
40,25940,Michael O'Hara
40,5177,Narrator (voice)
40,2848,Othello
19328,8675,null
13294,899,null
13294,3606,null
13294,6732,null
13294,8999,Himself - Co-Host / Narrator
14502,69945,Frank Webster
13784,4324,Elias Wakefield
10158,7013,null
39608,5864,null
3663,2136,Professor Julius F. Kelp / Buddy Love / Baby Kelp
3663,8986,Stanley / Himself
9108,2533,null
9108,2789,null
9108,78967,null
3084,5063,Rio
16897,5250,null
16897,26686,null
1159927,72880,null
12329,3089,null
12329,4424,null
12329,6611,null
834,5799,null
834,31737,null
834,59832,null
834,3801,null
834,3678,null
834,942,null
834,5085,null
5763,26171,Monsieur Hulot
5763,7209,Monsieur Hulot
5763,7206,Monsieur Hulot
12446,2286,null
16002,8821,null
7301,2903,Norman Bates
31439,2346,null
31439,6416,Radio (Voice)
31439,3612,null
8741,957,null
13565,90531,null
13565,64197,null
13565,105844,null
3636,3069,null
3636,57418,null
232669,7088,Ernesto
30647,2747,null
4786,6345,null
4786,534,null
4786,1398,null
4786,7980,Lunatic with Glasses (uncredited)
4786,4095,null
4786,1293,null
4786,44911,null
68,3377,null
68,25911,null
68,7571,null
68,4768,null
68,8236,null
68,25972,null
68,5017,null
68,5169,null
68,2010,null
68,1260,null
68,6515,null
68,25825,null
68,25904,null
68,8670,null
514,8903,null
514,3141,"J.J. ""Jake"" Gittes"
11857,2820,null
10592,4515,null
10592,51044,null
10215,51044,null
10593,51044,Himself / Magician Looking Through Telescope
11147,7071,null
11147,702,null
11147,5179,null
11147,7126,null
6449,1883,Senator Jay Billington Bulworth
6449,2616,Dick Tracy
6449,2929,John Reed
6449,2779,Joe Pendleton
190,63062,null
190,1711,null
190,3508,Josey Wales
190,3827,Frank Corvin
190,105,Robert Kincaid
190,114662,Church Goer
190,64614,Walt Kowalski
190,6078,Mitchell Gant
190,6084,Red Stovall
190,2401,Preacher
190,6870,null
190,4957,Insp. Harry Callahan
190,2561,Steve Everett
190,4803,Dave
190,1459,Luther Whitney
190,50068,null
190,507,Chief Red Garnett
190,72733,null
190,6812,Nick Pulovski
190,5506,Terry McCaleb
190,30707,Frankie Dunn
190,81512,null
190,1266,William Munny
190,4479,null
190,2476,Gunnery Sgt. Tom 'Gunny' Highway
190,3834,Bronco Billy
190,4947,Ben Shockley
190,48783,null
190,2921,The Stranger
190,90719,null
94011,48061,Snoopy / Woodstock
94011,60487,Snoopy
94011,7790,Snoopy / Woodstock
94011,26133,Snoopy (voice)
20030,76054,null
20030,6299,Narrator (voice)
21520,3807,null
69300,5354,null
69300,2736,null
69300,2870,null
69300,3507,null
86,443,null
86,2984,Narrator
86,3653,Narrator
88571,26157,Michael
1895,1463,null
1895,2111,null
1895,4293,null
1895,8610,null
1895,445,null
1895,5214,Dinah's Guest
1895,2109,Himself
1895,2110,Juliet's Butler / Field Marshal Wilfried von Kluck
1895,7026,Mr. Dearadorian
4135,3100,null
4135,300,null
4135,1727,Tom Booker
4135,88950,null
4135,4523,null
4135,99741,Jim Grant
4135,3978,null
4135,55946,Dr. Stephen Malley
4135,1956,null
4774,64990,null
4483,99220,null
133471,6257,Vilgot Sjöman
2778,564,Doggie
2778,3168,Billy
2778,4488,null
2778,3765,null
30706,6427,null
10400,3528,Susan Lowenstein
10400,1353,Rose Morgan
10400,5012,Yentl Mendel
3460,6039,Teddy Pierce
3460,2786,Larry Abbot
16475,4201,Wendell Sonny Lawson
16475,5854,Tom Sharky
1650,7136,null
1650,39941,null
1650,31963,Le Marchand de Journaux (voice) (uncredited)
1650,2731,Man in Funfair
1650,4840,null
1650,6305,null
1650,7135,null
1650,2732,null
1650,6271,Directeur Ferrand
1650,4712,Le Dr Jean Itard
1650,26346,null
24318,4526,null
24318,4205,null
24318,691,null
24318,276,null
24318,2375,null
24318,4521,null
