labels,movieId,imdbId,title,tmdbId,year,countries,languages,plot,imdbRating,imdbVotes,released,runtime,poster,revenue,budget,url
Movie,1,0114709,Toy Story,862,1995,USA,English,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,8.3,591836,1995-11-22,81,https://image.tmdb.org/t/p/w440_and_h660_face/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,373554033,30000000,https://themoviedb.org/movie/862
Movie,2,0113497,Jumanji,8844,1995,USA,English; French,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",6.9,198355,1995-12-15,104,https://image.tmdb.org/t/p/w440_and_h660_face/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,262797249,65000000,https://themoviedb.org/movie/8844
Movie,3,0113228,Grumpier Old Men,15602,1995,USA,English,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",6.6,18615,1995-12-22,101,https://image.tmdb.org/t/p/w440_and_h660_face/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,,,https://themoviedb.org/movie/15602
Movie,4,0114885,Waiting to Exhale,31357,1995,USA,English,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",5.6,7210,1995-12-22,124,https://image.tmdb.org/t/p/w440_and_h660_face/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,81452156,16000000,https://themoviedb.org/movie/31357
Movie,5,0113041,Father of the Bride Part II,11862,1995,USA,English,"In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",5.9,25938,1995-12-08,106,https://image.tmdb.org/t/p/w440_and_h660_face/lf9RTErt8BSLQy98aSFblElvsCQ.jpg,76578911,,https://themoviedb.org/movie/11862
Movie,6,0113277,Heat,949,1995,USA,English; Spanish,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,8.2,416316,1995-12-15,170,https://image.tmdb.org/t/p/w440_and_h660_face/rrBuGu0Pjq7Y2BWSI6teGfZzviY.jpg,187436818,60000000,https://themoviedb.org/movie/949
Movie,7,0114319,Sabrina,11860,1995,Germany; USA,English; French,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.2,29091,1995-12-15,127,https://image.tmdb.org/t/p/w440_and_h660_face/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,53672080,58000000,https://themoviedb.org/movie/11860
Movie,8,0112302,Tom and Huck,45325,1995,USA,English,"Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.",5.6,7224,1995-12-22,97,https://image.tmdb.org/t/p/w440_and_h660_face/lOnbEStMnDGKWJGvPEsMoZDML1b.jpg,23920048,,https://themoviedb.org/movie/45325
Movie,9,0114576,Sudden Death,9091,1995,USA,English,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,5.7,24978,1995-12-22,111,https://image.tmdb.org/t/p/w440_and_h660_face/4Snihptli0we9I4W5QfufOdHSeV.jpg,64350171,35000000,https://themoviedb.org/movie/9091
Movie,10,0113189,GoldenEye,710,1995,UK; USA,English; Russian; Spanish,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.,7.2,194676,1995-11-17,130,https://image.tmdb.org/t/p/w440_and_h660_face/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,352194034,58000000,https://themoviedb.org/movie/710
Movie,11,0112346,"American President, The",9087,1995,USA,English; French,"Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but politics is perception and sparks fly anyway.",6.8,41983,1995-11-17,114,https://image.tmdb.org/t/p/w440_and_h660_face/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,107879496,62000000,https://themoviedb.org/movie/9087
Movie,12,0112896,Dracula: Dead and Loving It,12110,1995,USA; France,English; German,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,5.8,29321,1995-12-22,88,https://image.tmdb.org/t/p/w440_and_h660_face/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,,,https://themoviedb.org/movie/12110
Movie,13,0112453,Balto,21032,1995,USA,English,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",7.1,29277,1995-12-22,78,https://image.tmdb.org/t/p/w440_and_h660_face/tpoaKJMRjOZl9cbZRR2aiKikyRC.jpg,11348324,,https://themoviedb.org/movie/21032
Movie,14,0113987,Nixon,10858,1995,USA,English; Mandarin; Russian,"A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.",7.1,23508,1996-01-05,192,https://image.tmdb.org/t/p/w440_and_h660_face/ORlTkdDwWU94O16MlwfIR4g5Hk.jpg,13681765,44000000,https://themoviedb.org/movie/10858
